Current (Our) Label,NCBI Taxdump closest fuzzy-match label,Edit distance,NCBI Taxonomy number,Manual checking,Current accepted name,
Bacillus sublilis,Bacillus subtilis,1,1423,,,
Bacillus subtills,Bacillus subtilis,1,1423,,,
Bacillus thermocloacae,[Bacillus] thermocloacae,1,33939,,,
Bacillus tlexus,Bacillus flexus,1,86664,,,
Bacillus vedderi,[Bacillus] vedderi,1,38282,,,
Bacterofdes vulgatus,Bacteroides vulgatus,1,821,,,
Bacteroides distasonis,Parabacteroides distasonis,1,823,,,
Bacteroides merdae,Parabacteroides merdae,1,46503,,,
Barfonella henselae,Bartonella henselae,1,38323,,,
Barnesiella viscerlcola,Barnesiella viscericola,1,397865,,,
Bartonella bacilllformis,Bartonella bacilliformis,1,774,,,
Bellfella baltica,Belliella baltica,1,232259,,,
Berjerinckia indica,Beijerinckia indica,1,533,,,
Bibersteinla trehalosi,Bibersteinia trehalosi,1,47735,,,
Bifidobacterim animalis,Bifidobacterium animalis,1,28025,,,
Bladyrhizobium japonicum,Bradyrhizobium japonicum,1,375,,,
Blasrobotrys illinoisensis,Blastobotrys illinoisensis,1,378048,,,
Blastabotrys nivea,Blastobotrys nivea,1,44073,,,
Blastobntrys terrestris,Blastobotrys terrestris,1,43981,,,
Blastobutrys mokoenaii,Blastobotrys mokoenaii,1,267478,,,
Blastomonas nataforia,Blastomonas natatoria,1,34015,,,
Bogoriella caseolytica,Bogoriella caseilytica,1,56055,,,
Bovine rumen,bovine rumen bacterium niuC10,1,239071,,,
Brachybacterlum faecium,Brachybacterium faecium,1,43669,,,
Bradyrhizobium elkanfi,Bradyrhizobium elkanii,1,29448,,,
Bradyrhizoblum japonicum,Bradyrhizobium japonicum,1,375,,,
Brevibaclllus brevis,Brevibacillus brevis,1,1393,,,
Bucteroides caccae,Bacteroides caccae,1,47678,,,
Budvicla aquatica,Budvicia aquatica,1,82979,,,
Burkholdelia gladioli,Burkholderia gladioli,1,28095,,,
Burkholderia sordldicola,Burkholderia sordidicola,1,196367,,,
Butyrivlbrio crossotus,Butyrivibrio crossotus,1,45851,,,
Caiyophanon tenue,Caryophanon tenue,1,33978,,,
Caloranaerabacter azorensis,Caloranaerobacter azorensis,1,116090,,,
Campylobacter cunfculorum,Campylobacter cuniculorum,1,374106,,,
Candida diospyn,Candida diospyri,1,255213,,,
Candida membranifaoiens,Candida membranifaciens,1,45567,,,
Carboxydocella thermoautotrophica,Carboxydocella thermautotrophica,1,178899,,,
Caryophanon lalum,Caryophanon latum,1,33977,,,
Caulobacter ginsengisolf,Caulobacter ginsengisoli,1,400775,,,
Cellulophaga balrica,Cellulophaga baltica,1,76594,,,
Cellvibrio gandavensfs,Cellvibrio gandavensis,1,126348,,,
Chlyseobacterium caeni,Chryseobacterium caeni,1,365343,,,
Chlyseobacterium scophthalmum,Chryseobacterium scophthalmum,1,59733,,,
Chlyseobacterium taeanense,Chryseobacterium taeanense,1,311334,,,
Chlyseobacterium vrystaatense,Chryseobacterium vrystaatense,1,307480,,,
Chrjyseobacterium balustinum,Chryseobacterium balustinum,1,246,,,
Chromohalobacter marismoriui,Chromohalobacter marismortui,1,42055,,,
Chromohalobacter nigrandesensls,Chromohalobacter nigrandesensis,1,119863,,,
Chromohalobacter sareoensis,Chromohalobacter sarecensis,1,245294,,,
Chrtinophaga japonensis,Chitinophaga japonensis,1,104662,,,
Chryseabacterium indoltheticum,Chryseobacterium indoltheticum,1,254,,,
Chryseabacterium indoltheticum,Chryseobacterium indoltheticum,1,254,,,
Chryseobactelium hispanicum,Chryseobacterium hispanicum,1,358687,,,
Chryseobacterfum gleum,Chryseobacterium gleum,1,250,,,
Chryseobacterfum molle,Chryseobacterium molle,1,216903,,,
Chzyseobacterium indoltheticum,Chryseobacterium indoltheticum,1,254,,,
Citrabacter freundii,Citrobacter freundii,1,546,,,
Citricella thiooxidans,Citreicella thiooxidans,1,282683,,,
Citriooccus alkalitolerans,Citricoccus alkalitolerans,1,246603,,,
Citrobacter freundli,Citrobacter freundii,1,546,,,
Clavibacter michfganensis,Clavibacter michiganensis,1,28447,,,
Clavibacter michiganense,Clavibacter michiganensis,1,28447,,,
Clavispofa lusitaniae,Clavispora lusitaniae,1,36911,,,
Closrridiisalibacter paucivorans,Clostridiisalibacter paucivorans,1,408753,,,
Clostridium acidurici,[Clostridium] acidurici 9a,1,1128398,,,
Clostridium aldrichii,[Clostridium] aldrichii,1,29353,,,
Clostridium bartlettfi,Clostridium bartlettii CAG,1,1263063,,,
Clostridium bifermentans,[Clostridium] bifermentans,1,1490,,,
Clostridium cellobioparum,[Clostridium] cellobioparum,1,29355,,,
Clostridium cellulosi,[Clostridium] cellulosi,1,29343,,,
Clostridium cocleatum,[Clostridium] cocleatum,1,69824,,,
Clostridium fimetarium,[Clostridium] fimetarium,1,99656,,,
Clostridium herbivorans,[Clostridium] herbivorans,1,39479,,,
Clostridium litorale,[Clostridium] litorale,1,1557,,,
Clostridium methoxybenzovorans,[Clostridium] methoxybenzovorans,1,81424,,,
Clostridium methylpentosum,[Clostridium] methylpentosum,1,84026,,,
Clostridium paradoxum,[Clostridium] paradoxum,1,29346,,,
Clostridium phytofermentans,Lachnoclostridium phytofermentans,1,66219,,,
Clostridium polysaccharolyticum,[Clostridium] polysaccharolyticum,1,29364,,,
Clostridium purinilyticum,[Clostridium] purinilyticum,1,1503,,,
Clostridium rectum,[Clostridium] rectum,1,36851,,,
Clostridium scindens,[Clostridium] scindens,1,29347,,,
Clostridium sphenoides,[Clostridium] sphenoides,1,29370,,,
Clostridium sporosphaeroides,[Clostridium] sporosphaeroides,1,1549,,,
Clostridium sticklandii,[Clostridium] sticklandii,1,1511,,,
Clostridium symbiosum,[Clostridium] symbiosum,1,1512,,,
Clostridium viride,[Clostridium] viride,1,47246,,,
Clyobacterium psychrophilum,Cryobacterium psychrophilum,1,41988,,,
Clyptococcus himalayensis,Cryptococcus himalayensis,1,104407,,,
Clyptococcus skinneri,Cryptococcus skinneri,1,89928,,,
Clyptosporangium japonicum,Cryptosporangium japonicum,1,80872,,,
Colwellia demfngiae,Colwellia demingiae,1,89401,,,
Colwellia psychrerythreea,Colwellia psychrerythraea,1,28229,,,
Colwellia psychroerythraea,Colwellia psychrerythraea,1,28229,,,
Comamanas terrigena,Comamonas terrigena,1,32013,,,
Comamanas testosteroni,Comamonas testosteroni,1,285,,,
Coprococcus eutaclus,Coprococcus eutactus,1,33043,,,
Corynebacterium ulceranx,Corynebacterium ulcerans,1,65058,,,
Crassoslrea virginica,Crassostrea virginica,1,6565,,,
Crossiella clyophila,Crossiella cryophila,1,43355,,,
Cryobacterium psychratolerans,Cryobacterium psychrotolerans,1,386301,,,
Cryobacterlum psychrophilum,Cryobacterium psychrophilum,1,41988,,,
Cryptobacterium curium,Cryptobacterium curtum,1,84163,,,
Cryptococcus uzbekistanensfs,Cryptococcus uzbekistanensis,1,104415,,,
Cryptoooccus vishniacii,Cryptococcus vishniacii,1,89929,,,
Cupriavidus pauoulus,Cupriavidus pauculus,1,82633,,,
Curfobacterium ammoniigenes,Curtobacterium ammoniigenes,1,395387,,,
Curfobacterium luteum,Curtobacterium luteum,1,33881,,,
Curtobacrerium citreum,Curtobacterium citreum,1,2036,,,
Curtobaoterium herbarum,Curtobacterium herbarum,1,150122,,,
Cyclobacrerium amurskyense,Cyclobacterium amurskyense,1,320787,,,
Cyclobacterfum marinum,Cyclobacterium marinum,1,104,,,
Cyclobacterium marlnum,Cyclobacterium marinum,1,104,,,
Cystofilobasidium infilmominiatum,Cystofilobasidium infirmominiatum,1,89913,,,
Dactylosporangium auranticum,Dactylosporangium aurantiacum,1,35754,,,
Dechloromonas agitate,Dechloromonas agitata,1,73030,,,
Dermacoccus nishinomyaensis,Dermacoccus nishinomiyaensis,1,1274,,,
Dermococcus nishinomiyaensis,Dermacoccus nishinomiyaensis,1,1274,,,
Desulfobacterium catecholicum,[Desulfobacterium] catecholicum,1,90729,,,
Desulfomicrobium arale,Desulfomicrobium orale,1,132132,,,
Desulfomicrobium baculalum,Desulfomicrobium baculatum,1,899,,,
Desulfonalronum lacustre,Desulfonatronum lacustre,1,66849,,,
Desulfonarronovibrio hydrogenovorans,Desulfonatronovibrio hydrogenovorans,1,53245,,,
Desulfovibrfo mexicanus,Desulfovibrio mexicanus,1,147047,,,
Dethiosulfovibrfo peptidovorans,Dethiosulfovibrio peptidovorans,1,47055,,,
Devosia ginsengisolf,Devosia ginsengisoli,1,400770,,,
Devosia ribofiavina,Devosia riboflavina,1,46914,,,
Dialisler pneumosintes,Dialister pneumosintes,1,39950,,,
Diaphorobacler nitroreducens,Diaphorobacter nitroreducens,1,164759,,,
Dlckeya chrysanthemi,Dickeya chrysanthemi,1,556,,,
Dokdonella fugitive,Dokdonella fugitiva,1,328517,,,
Donghicola xiamenensis,Pseudodonghicola xiamenensis,1,337702,,,
Duganella violaceinigra,Pseudoduganella violaceinigra,1,246602,,,
Duganella zuogloeoides,Duganella zoogloeoides,1,75659,,,
Dyadobacter fermenlans,Dyadobacter fermentans,1,94254,,,
Dysgonomonas gadel,Dysgonomonas gadei,1,156974,,,
Echinfcola vietnamensis,Echinicola vietnamensis,1,390884,,,
Echinicola vietnamensfs,Echinicola vietnamensis,1,390884,,,
Eciothiorhodospira shaposhnikovii,Ectothiorhodospira shaposhnikovii,1,1054,,,
Ectothiorhodospira shaposhnikovif,Ectothiorhodospira shaposhnikovii,1,1054,,,
Eenacibaculum ovolyticum,Tenacibaculum ovolyticum,1,104270,,,
Elythrobacter flavus,Erythrobacter flavus,1,192812,,,
Empedobacler brevis,Empedobacter brevis,1,247,,,
Enterococcus mundtil,Enterococcus mundtii,1,53346,,,
Enterovibrlo coralii,Enterovibrio coralii,1,294935,,,
Escherichia colf,Escherichia coli,1,562,,,
Eubacrerium siraeum,Eubacterium siraeum CAG,1,1263080,,,
Eubacterium angustum,[Eubacterium] angustum,1,39480,,,
Eubacterium uniforms,Eubacterium uniforme,1,39495,,,
Eubacterlum siraeum,Eubacterium siraeum CAG,1,1263080,,,
Filobasidlum uniguttulatum,Filobasidium uniguttulatum,1,5212,,,
Flavobacterium jahnsoniae,Flavobacterium johnsoniae,1,986,,,
Flavobacterium psyghrophilum,Flavobacterium psychrophilum,1,96345,,,
Flectobacfllus major,Flectobacillus major,1,103,,,
Flectobaclllus major,Flectobacillus major,1,103,,,
Flexfbacter flexilis,Flexibacter flexilis,1,998,,,
Flexibacler ruber,Flexibacter ruber,1,1003,,,
Fonlibacter flavus,Fontibacter flavus,1,654838,,,
Formivibrfo citricus,Formivibrio citricus,1,83765,,,
Frateuria aurantfa,Frateuria aurantia,1,81475,,,
Frateuria aurantla,Frateuria aurantia,1,81475,,,
Friedmannfella antarctica,Friedmanniella antarctica,1,53388,,,
Frigaribacterium faeni,Frigoribacterium faeni,1,145483,,,
Gemella morblllorum,Gemella morbillorum,1,29391,,,
Gemella palatlcanis,Gemella palaticanis,1,81950,,,
Gemella sanguinls,Gemella sanguinis,1,84135,,,
Georgenfa muralis,Georgenia muralis,1,154117,,,
Gillisia llmnaea,Gillisia limnaea,1,195907,,,
Glaciecola mesophila,Paraglaciecola mesophila,1,197222,,,
Glacieola pallidula,Glaciecola pallidula,1,56807,,,
Gluconacetobacter liquefacfens,Gluconacetobacter liquefaciens,1,89584,,,
Gordonla terrae,Gordonia terrae,1,2055,,,
Gracilibacfllus halotolerans,Gracilibacillus halotolerans,1,74386,,,
Gracilibacillus dipsosauii,Gracilibacillus dipsosauri,1,178340,,,
Gracilibacillus halololerans,Gracilibacillus halotolerans,1,74386,,,
Gracillibacillus dipsosauri,Gracilibacillus dipsosauri,1,178340,,,
Gracillibacillus halotolerans,Gracilibacillus halotolerans,1,74386,,,
Gramella echinicula,Gramella echinicola,1,279359,,,
Gulbenkfania mobilis,Gulbenkiania mobilis,1,397457,,,
Gulbenkiania mobllis,Gulbenkiania mobilis,1,397457,,,
Haemophilus inlluenzae,Haemophilus influenzae biotype aegyptius,1,725,,,
Haiochromatium salexigens,Halochromatium salexigens,1,49447,,,
Halachromatium roseum,Halochromatium roseum,1,391920,,,
Halobacillus trueperl,Halobacillus trueperi,1,156205,,,
Halobfforma haloterrestris,Halobiforma haloterrestris,1,148448,,,
Haloferax denitriflcans,Haloferax denitrificans,1,35745,,,
Haloferrigena jeotgali,Haloterrigena jeotgali,1,413811,,,
Haloierax larsenii,Haloferax larsenii,1,302484,,,
Haloierrigena saccharevitans,Haloterrigena saccharevitans,1,301967,,,
Halomonas elongate,Halomonas elongata,1,2746,,,
Halorhabdus utahensls,Halorhabdus utahensis,1,146826,,,
Halorubrum tebenquiohense,Halorubrum tebenquichense,1,119434,,,
Halosimplex carfsbadense,Halosimplex carlsbadense,1,171164,,,
Haloterrigena saline,Haloterrigena salina,1,504937,,,
Halovfvax asiaticus,Halovivax asiaticus,1,332953,,,
Halovibriu denitrificans,Halovibrio denitrificans,1,332516,,,
Halovivax asiatious,Halovivax asiaticus,1,332953,,,
Haluterrigena thermotolerans,Haloterrigena thermotolerans,1,121872,,,
Hamadaea tseunoensis,Hamadaea tsunoensis,1,53368,,,
Herbaspirillum chloraphenolicum,Herbaspirillum chlorophenolicum,1,211589,,,
Herminiimonas suxobsidens,Herminiimonas saxobsidens,1,427333,,,
Hhodospira trueperi,Rhodospira trueperi,1,69960,,,
Histophilus somnl,Histophilus somni,1,731,,,
Huminococcus torques,Ruminococcus torques ATCC 27756,1,411460,,,
Hydragenophaga intermedia,Hydrogenophaga intermedia,1,65786,,,
Hydrogenaphaga flava,Hydrogenophaga flava,1,65657,,,
Hydrogenophilus thermolutealus,Hydrogenophilus thermoluteolus,1,297,,,
Hydrothermal vent,hydrothermal vent eubacterium PVB_OTU_2,1,37373,,,
Hymenobaoter aerophilus,Hymenobacter aerophilus,1,119644,,,
Hymenobaoter roseosalivarius,Hymenobacter roseosalivarius,1,89967,,,
Hyphomicrobium suifonivorans,Hyphomicrobium sulfonivorans,1,121290,,,
Idlomarina baltica,Idiomarina baltica,1,190892,,,
Jonesia denftrificans,Jonesia denitrificans,1,43674,,,
Kaislia granuli,Kaistia granuli,1,363259,,,
Kangiella aquimurina,Kangiella aquimarina,1,261965,,,
Ketogulonfcigenium vulgare,Ketogulonicigenium vulgare,1,92945,,,
Kineococcus marinus,Pseudokineococcus marinus,1,351215,,,
Kitasatospora arborophila,Kitasatospora arboriphila,1,258052,,,
Kitasatospora paranaensis,Kitasatospora paranensis,1,258053,,,
Kitasatospora putterfickiae,Kitasatospora putterlickiae,1,221725,,,
Kluyvera ascarbata,Kluyvera ascorbata,1,51288,,,
Knoellla sinensis,Knoellia sinensis,1,136100,,,
Kocuria krfstinae,Kocuria kristinae,1,37923,,,
Kocuria polaiis,Kocuria polaris,1,136273,,,
Kondoa aerfa,Kondoa aeria,1,105986,,,
Kribbella albd,Kribbella alba,1,190197,,,
Kribella jejuensis,Kribbella jejuensis,1,236068,,,
Kribella sandramycini,Kribbella sandramycini,1,60450,,,
Kribella solani,Kribbella solani,1,236067,,,
Kuithia zopfii,Kurthia zopfii,1,1650,,,
Kulthia gibsonii,Kurthia gibsonii,1,33946,,,
Kurihia gibsonii,Kurthia gibsonii,1,33946,,,
Kurthia sibirlca,Kurthia sibirica,1,202750,,,
Kurthia zoplii,Kurthia zopfii,1,1650,,,
Kurthla gibsonii,Kurthia gibsonii,1,33946,,,
Lachnospira pectinoschfza,Lachnospira pectinoschiza,1,28052,,,
Lacinutrix oopepodicola,Lacinutrix copepodicola,1,291184,,,
Lenlzea californiensis,Lentzea californiensis,1,438851,,,
Lentibacillus jurlpiscarius,Lentibacillus juripiscarius,1,257446,,,
Lentibacillus salfcampi,Lentibacillus salicampi,1,175306,,,
Lentlbacillus salicampi,Lentibacillus salicampi,1,175306,,,
Leptothrfx mobilis,Leptothrix mobilis,1,47994,,,
Leuconostoc pseudomesenreroides,Leuconostoc pseudomesenteroides,1,33968,,,
Lewinella perslca,Lewinella persica,1,70998,,,
Loktanela salsilacus,Loktanella salsilacus,1,195913,,,
Longfspora albida,Longispora albida,1,203523,,,
Luteibacter rhizovlcinus,Luteibacter rhizovicinus,1,242606,,,
Luteipulveratus mongolensis,Luteipulveratus mongoliensis,1,571913,,,
Luteococcus sanguinus,Luteococcus sanguinis,1,174038,,,
Lysinibacillus boronilolerans,Lysinibacillus boronitolerans,1,309788,,,
Magnetospirillum magnelotacticum,Magnetospirillum magnetotacticum,1,188,,,
Malikia splnosa,Malikia spinosa,1,86180,,,
Mannheimla haemolytica,Mannheimia haemolytica serotype 1,1,45201,,,
Maribaoter dokdonensis,Maribacter dokdonensis,1,320912,,,
Maribaulis salignorans,Maricaulis salignorans,1,144026,,,
Marinifexile gromovii,Mariniflexile gromovii,1,362523,,,
Marinobacler hydrocarbonoclasticus,Marinobacter hydrocarbonoclasticus,1,2743,,,
Marinobacter daepoensfs,Marinobacter daepoensis,1,262077,,,
Marinobacter hydrocarbonoclaslicus,Marinobacter hydrocarbonoclasticus,1,2743,,,
Marinobacter hydrocarbonoclastfcus,Marinobacter hydrocarbonoclasticus,1,2743,,,
Marinobacterium geargiense,Marinobacterium georgiense,1,48076,,,
Marinobacterium jannasohii,Marinobacterium jannaschii,1,64970,,,
Marinobacter koreensls,Marinobacter koreensis,1,335974,,,
Marinobacter maritfmus,Marinobacter maritimus,1,277961,,,
Marinomonas polarls,Marinomonas polaris,1,293552,,,
Marinospfrillum minutulum,Marinospirillum minutulum,1,64974,,,
Marinospirillum insulate,Marinospirillum insulare,1,217169,,,
Marinospirillum megaterfum,Marinospirillum megaterium,1,64975,,,
Marinosulfonomonas methylotrophaf,Marinosulfonomonas methylotropha,1,50058,,,
Marlbacter dokdonensis,Maribacter dokdonensis,1,320912,,,
Marlbacter ulvicola,Maribacter ulvicola,1,228959,,,
Meiolhermus ruber,Meiothermus ruber,1,277,,,
Melhylobacterium populi,Methylobacterium populi,1,223967,,,
Merschnikowia lunata,Metschnikowia lunata,1,27325,,,
Mesania algae,Mesonia algae,1,213248,,,
Mesorhizobium tlanshanense,Mesorhizobium tianshanense,1,39844,,,
Methanabacterium beijingense,Methanobacterium beijingense,1,242129,,,
Methanosaeta thermophild,Methanosaeta thermophila,1,2224,,,
Methyloarcula terricola,Methylarcula terricola,1,72023,,,
Methylobacrerium organophilum,Methylobacterium organophilum,1,410,,,
Methylobacterium radiotalerans,Methylobacterium radiotolerans,1,31998,,,
Methylobacter vinelandif,Methylobacter vinelandii,1,29426,,,
Methylobactetium radiotolerans,Methylobacterium radiotolerans,1,31998,,,
Methylorhabdus muitivorans,Methylorhabdus multivorans,1,61656,,,
Methylotenera mobills,Methylotenera mobilis,1,359408,,,
Methylovorus gluoosotrophus,Methylovorus glucosotrophus,1,266009,,,
Metschnikowia kareensis,Metschnikowia koreensis,1,164924,,,
Mhrobacter cumminsii,Arthrobacter cumminsii,1,156979,,,
Micrabacterium keratanolyticum,Microbacterium keratanolyticum,1,67574,,,
Microbacrerium lacticum,Microbacterium lacticum,1,33885,,,
Microbacterium laoticum,Microbacterium lacticum,1,33885,,,
Microbacterium schlelferi,Microbacterium schleiferi,1,69362,,,
Microbacterlum liquefaciens,Microbacterium liquefaciens,1,33918,,,
Micrococcus antarctious,Micrococcus antarcticus,1,86171,,,
Micromanospora chalcea,Micromonospora chalcea,1,1874,,,
Mlcrobacterium lacticum,Microbacterium lacticum,1,33885,,,
Moritella viscose,Moritella viscosa,1,80854,,,
Murica uda,Muricauda,1,111500,,,
Mycobacferium fortuitum,Mycobacterium fortuitum,1,1766,,,
Myoetocola lacteus,Mycetocola lacteus,1,76637,,,
Nacardioides kribbensis,Nocardioides kribbensis,1,305517,,,
Natiinema altunense,Natrinema altunense,1,222984,,,
Natlialba asiatica,Natrialba asiatica DSM 12278,1,29540,,,
Natrinema pellfrubrum,Natrinema pellirubrum,1,69525,,,
Natrinema versifolme,Natrinema versiforme,1,88724,,,
Natronobacterium gregoiyi,Natronobacterium gregoryi,1,44930,,,
Natronobacterium gregolyi,Natronobacterium gregoryi,1,44930,,,
Natronocoocus occultus,Natronococcus occultus,1,29288,,,
Natronorubrum tlbetense,Natronorubrum tibetense,1,63128,,,
Nautilia lfthotrophica,Nautilia lithotrophica,1,128945,,,
Nautilia lithatrophica,Nautilia lithotrophica,1,128945,,,
Neosaia chiangmaiensis,Neoasaia chiangmaiensis,1,320497,,,
Neplunomonas naphthovorans,Neptunomonas naphthovorans,1,75688,,,
Neptunomonas naphlhovorans,Neptunomonas naphthovorans,1,75688,,,
Nesterenkania halobia,Nesterenkonia halobia,1,37922,,,
Nevskia ramasa,Nevskia ramosa,1,64002,,,
Nfabella aurantiaca,Niabella aurantiaca,1,379900,,,
Nistipes putredinis,Alistipes putredinis,1,28117,,,
Nocaldioides hwasunensis,Nocardioides hwasunensis,1,397258,,,
Nocardfoides insulae,Nocardioides insulae,1,394734,,,
Nocardfoides nitrophenolicus,Nocardioides nitrophenolicus,1,60489,,,
Nocardia aszeroides,Nocardia asteroides,1,1824,,,
Nocardia concave,Nocardia concava,1,257281,,,
Nocardiaides dubius,Nocardioides dubius,1,317019,,,
Nocardiofdes dubius,Nocardioides dubius,1,317019,,,
Nocardiofdes kribbensis,Nocardioides kribbensis,1,305517,,,
Nocardioides daphnfae,Nocardioides daphniae,1,402297,,,
Nocardioides fensenii,Nocardioides jensenii,1,1843,,,
Nocardioides nitlophenolicus,Nocardioides nitrophenolicus,1,60489,,,
Nocardioides oleivarans,Nocardioides oleivorans,1,273676,,,
Nocardioides pyridinolyticux,Nocardioides pyridinolyticus,1,109465,,,
Novosphingobfum capsulatum,Novosphingobium capsulatum,1,13688,,,
Novosphingobfum hassiacum,Novosphingobium hassiacum,1,173676,,,
Obesumbacterlum proteus,Obesumbacterium proteus,1,82983,,,
Oceanibulbus indoliflex,Oceanibulbus indolifex,1,225422,,,
Oceanimonas doudaroffii,Oceanimonas doudoroffii,1,84158,,,
Oceanimonas doudoroftii,Oceanimonas doudoroffii,1,84158,,,
Oceanisphaera litoralfs,Oceanisphaera litoralis,1,225144,,,
Oceanobacillus lheyensis,Oceanobacillus iheyensis,1,182710,,,
Ochrobaclrum anthropi,Ochrobactrum anthropi,1,529,,,
Octadecabacter antarctfcus,Octadecabacter antarcticus 307,1,391626,,,
Octadecabacter arctfcus,Octadecabacter arcticus,1,53946,,,
Odoribacter denticanfs,Odoribacter denticanis,1,283169,,,
Oetskovia jenensis,Oerskovia jenensis,1,162169,,,
Ogataea philodendra,Ogataea philodendri,1,1378263,,,
Okibactelium fritillariae,Okibacterium fritillariae,1,123320,,,
Oleiphflus messinensis,Oleiphilus messinensis,1,141451,,,
Oleiphilus messfnensis,Oleiphilus messinensis,1,141451,,,
Oligofropha carboxidovorans,Oligotropha carboxidovorans,1,40137,,,
Olivlbacter ginsengisoli,Olivibacter ginsengisoli,1,398048,,,
Palabacteroides merdae,Parabacteroides merdae,1,46503,,,
Pandoraea narimbergensis,Pandoraea norimbergensis,1,93219,,,
Pantibacillus chungwhensis,Pontibacillus chungwhensis,1,265426,,,
Parabacteroides dfstasonis,Parabacteroides distasonis,1,823,,,
Parabacteroides distasonfs,Parabacteroides distasonis,1,823,,,
Paraccccus denitrificans,Paracoccus denitrificans,1,266,,,
Paraliobacillus ryukyuensls,Paraliobacillus ryukyuensis,1,200904,,,
Parapedobacter koreensls,Parapedobacter koreensis,1,332977,,,
Pedicoccus inopinatus,Pediococcus inopinatus,1,114090,,,
Pediococccus pentosaceus,Pediococcus pentosaceus,1,1255,,,
Pedobacter himalayensls,Pedobacter himalayensis,1,246796,,,
Pedobacter saltans,Pseudopedobacter saltans,1,151895,,,
Pedomicrobfum americanum,Pedomicrobium americanum,1,47495,,,
Pedomicrobium auslralicum,Pedomicrobium australicum,1,47496,,,
Pelagiooccus albus,Pelagicoccus albus,1,415222,,,
Perexillbacter aurantiacus,Perexilibacter aurantiacus,1,406515,,,
Persicitalea jodagahamensis,Persicitalea jodogahamensis,1,402147,,,
Perslcobacter diffluens,Persicobacter diffluens,1,981,,,
Phaeospirillum molisohianum,Phaeospirillum molischianum,1,1083,,,
Photobacferium phosphoreum,Photobacterium phosphoreum,1,659,,,
Photobacterium phasphoreum,Photobacterium phosphoreum,1,659,,,
Phycicoccus jejuensfs,Phycicoccus jejuensis,1,367299,,,
Planococcus kocuril,Planococcus kocurii,1,1374,,,
Plantibacter fiavus,Plantibacter flavus,1,150123,,,
Plesiomonas shigelloldes,Plesiomonas shigelloides,1,703,,,
Polaribactel filamentus,Polaribacter filamentus,1,53483,,,
Polaribacter irgensfi,Polaribacter irgensii,1,531,,,
Polphyrobacter cryptus,Porphyrobacter cryptus,1,196588,,,
Polymorphospara rubra,Polymorphospora rubra,1,338584,,,
Pontibacter acitiniarum,Pontibacter actiniarum,1,323450,,,
Pontibaoter actiniarum,Pontibacter actiniarum,1,323450,,,
Porphyrobacter clyptus,Porphyrobacter cryptus,1,196588,,,
Porphyrobacter neustonensfs,Porphyrobacter neustonensis,1,1112,,,
Porphyromonas asaccharolylica,Porphyromonas asaccharolytica,1,28123,,,
Porphyromonas gingfvalis,Porphyromonas gingivalis,1,837,,,
Prasthecobacter fusiformis,Prosthecobacter fusiformis,1,48464,,,
Prevolella nigrescens,Prevotella nigrescens,1,28133,,,
Prevorella oris,Prevotella oris,1,28135,,,
Prevotella loescheif,Prevotella loescheii,1,840,,,
Promfcromonospora aerolata,Promicromonospora aerolata,1,195749,,,
Propionibactelium cyclohexanicum,Propionibacterium cyclohexanicum,1,64702,,,
Propionibacterium jensenli,Propionibacterium jensenii,1,1749,,,
Pseudoalleromonas aliena,Pseudoalteromonas aliena,1,247523,,,
Pseudoalleromonas haloplanktis,Pseudoalteromonas haloplanktis,1,228,,,
Pseudoalteromonas haloplanktfs,Pseudoalteromonas haloplanktis,1,228,,,
Pseudoalteromonas nigrffaciens,Pseudoalteromonas nigrifaciens,1,28109,,,
Pseudochrobactrum asaccharolytfcum,Pseudochrobactrum asaccharolyticum,1,354351,,,
Pseudonocardia auranliaca,Pseudonocardia aurantiaca,1,75290,,,
Pseudoruegerfa aquimaris,Pseudoruegeria aquimaris,1,393663,,,
Pseudoxanthomonas mexioana,Pseudoxanthomonas mexicana,1,128785,,,
Psychrobacrer marincola,Psychrobacter marincola,1,154109,,,
Psychrobacter pacilicensis,Psychrobacter pacificensis,1,112002,,,
Psychroflexus forquis,Psychroflexus torquis,1,57029,,,
Psychroflexus gondwanense,Psychroflexus gondwanensis,1,251,,,
Psychroserpens burfonensis,Psychroserpens burtonensis,1,49278,,,
Pxeudoalteromonas nigrifaciens,Pseudoalteromonas nigrifaciens,1,28109,,,
Rahnella aquatllis,Rahnella aquatilis,1,34038,,,
Ralhayibacter tritici,Rathayibacter tritici,1,33888,,,
Rapidithrix fhailandica,Rapidithrix thailandica,1,413964,,,
Rhabdochromalium marinum,Rhabdochromatium marinum,1,48729,,,
Rhizobfum undicola,Rhizobium undicola,1,78527,,,
Rhizobium galegae,Neorhizobium galegae,1,399,,,
Rhizobium haiananense,Rhizobium hainanense,1,52131,,,
Rhizobium huautlense,Neorhizobium huautlense,1,67774,,,
Rhodacoccus rhodochrous,Rhodococcus rhodochrous,1,1829,,,
Rhodanobacler spathiphylli,Rhodanobacter spathiphylli,1,347483,,,
Rhodanobacter lfndaniclasticus,Rhodanobacter lindaniclasticus,1,75310,,,
Rhodaspirillum rubrum,Rhodospirillum rubrum,1,1085,,,
Rhodasporidium toruloides,Rhodosporidium toruloides,1,5286,,,
Rhodatorula glutinis,Rhodotorula glutinis,1,5535,,,
Rhodobium orientfs,Rhodobium orientis,1,34017,,,
Rhodoclsta pekingensis,Rhodocista pekingensis,1,201185,,,
